tweet_id,processed_tweet
1,attended meeting national committee commemoration anniversary indias independence
2,narendra modi prime minister temple desperately need help sign petition
3,beedilivelihoodsmatter shri honble narendra modi saheb requested repeal quota
4,dr manmohan singh stronger prime minister narendra modi agree
5,even state people prefer rahul gandhi narendra modi post prime minister godi media cant help
6,faced protests prime minister narendra government offered suspend laws months
7,dr manmohan singh stronger prime minister narendra modi agree
8,today occasion day prime minister shri narendra modi ji bought products various women
9,anyone atheistwho values rule law democracy freedom group identity
10,today occasion womens day prime minister shri narendra modi bought products various women self help
11,smita prakash brilliant modi p.m elected political process known
12,anyone atheistwho values rule law democracy freedom group identity
13,leftrightcentre debjani bhattacharya columnist warofwords prime minister narendra modi westbengal
14,kerala voters think suitable candidate post pm india modi
15,scores rohingya fled persecution myanmar held detention centre india hindunationalist
16,prime minister narendra modi release volumes manuscript commentaries scholars shlokas bhagavad
17,dr manmohan singh stronger prime minister narendra modi agree
18,dr manmohan singh stronger prime minister narendra modi agree
19,dr manmohan singh stronger prime minister narendra modi agree
20,womens day lets forget indias bravest journalist gauri lankesh shot door steps
21,leftrightcentre debjani bhattacharya columnist warofwords prime minister narendra modi westbengal
22,dr manmohan singh stronger prime minister narendra modi agree
23,dr manmohan singh stronger prime minister narendra modi agree
24,leftrightcentre debjani bhattacharya columnist warofwords prime minister narendra modi westbengal
25,bcci announces schedule vivo ipl season kickstart april chennai final take place
26,dr manmohan singh stronger prime minister narendra modi agree
27,narendra modi bengal amit shah tn himanta biswa assam demeaning leaders people say
28,faced protests prime minister narendra government offered suspend laws months
29,dr manmohan singh stronger prime minister narendra modi agree
30,mallus become laughing stock choosing rahul gandhi narendra modi icon laughing stock rest
31,prime minister narendra modi release volumes manuscript commentaries scholars shlokas bhagavad
32,kerala voters think suitable candidate post pm india modi
33,leftrightcentre debjani bhattacharya columnist warofwords prime minister narendra modi westbengal
34,dr manmohan singh stronger prime minister narendra modi agree
35,narendra modi bengal amit shah tn himanta biswa assam demeaning leaders people say
36,faced protests prime minister narendra government offered suspend laws months
37,dr manmohan singh stronger prime minister narendra modi agree
38,leftrightcentre debjani bhattacharya columnist warofwords prime minister narendra modi westbengal
39,dr manmohan singh stronger prime minister narendra modi agree
40,dr manmohan singh stronger prime minister narendra modi agree
41,leftrightcentre debjani bhattacharya columnist warofwords prime minister narendra modi
42,dr manmohan singh stronger prime minister narendra modi agree
43,dr manmohan singh stronger prime minister narendra modi agree
44,dr manmohan singh stronger prime minister narendra modi agree
45,internationalwomensday pm buys tribal art painting support nari shakti read
46,today occasion womens day prime minister shri narendra modi bought products various women self help
47,attended meeting national committee commemoration anniversary indias independence
48,today occasion womens day prime minister shri narendra modi bought products various women self help
49,good fall woman cm rides scooter protest
50,dont say clearly modis followers fake fake perception break like castle
51,dr manmohan singh stronger prime minister narendra modi agree
52,shah narendra modi two syndicate ministers come bengal lie respect chair
53,kerala voters think suitable candidate post pm india modi
54,know se blames bureaucracy shortcomings inefficiencies prime minister
55,leftrightcentre dinesh trivedi bjp leader unparliamentary language used westbengal chief minister mamata
56,foundation amaravati laid per hindu rituals narendra modi ji pandits chanting vedas
57,today occasion womens day prime minister shri narendra modi bought products various women self help
58,beedilivelihoodsmatter shri honble narendra modi saheb requested repeal quota
59,high time pm narendra modi intervene states like mp instead preaching sermons women
60,faced protests prime minister narendra government offered suspend laws months
61,proved power stong independent woman true inspiration independent woman male
62,faced protests prime minister narendra government offered suspend laws months
63,today occasion womens day prime minister shri narendra modi bought products various women self help
64,dr manmohan singh stronger prime minister narendra modi agree
65,dr manmohan singh stronger prime minister narendra modi agree
66,internationalwomensday pm buys tribal art painting support nari shakti read
67,kerala voters think suitable candidate post pm india modi
68,dr manmohan singh stronger prime minister narendra modi agree
69,dr manmohan singh stronger prime minister narendra modi agree
70,pm shri narendra modi buys classic palm craft nilavilakku made women based kerala buy
71,often seen pm shri narendra modi wearing gamusa extremely comfortable today pm bought
72,pm shri narendra modi going use handmade jute file folder west bengal made tribal communities
73,khadi closely associated mahatma gandhi rich history pm shri narendra modi bought khadi cotton
74,poor show strength brigade parade ground proves bjps party members state bother
75,high time pm narendra modi intervene states like mp instead preaching sermons women
76,faced protests prime minister narendra government offered suspend laws months
77,dr manmohan singh stronger prime minister narendra modi agree
78,india proud naga culture synonymous bravery compassion creativity pm shri narendra modi purchased
79,dr manmohan singh stronger prime minister narendra modi agree
80,dr manmohan singh stronger prime minister narendra modi agree
81,faced protests prime minister narendra government offered suspend laws months
82,dr manmohan singh stronger prime minister narendra modi agree
83,pm shri narendra modi bought handcrafted gond paper painting today merges colours creativity art
84,dr manmohan singh stronger prime minister narendra modi agree
85,people watched see new narendra modi stadium
86,dr manmohan singh stronger prime minister narendra modi agree
87,recall years ago ruled british narendra modi compared
88,high time pm narendra modi intervene states like mp instead preaching sermons women
89,namos party steals photographs brigade rally cover flop show
90,pm narendra modi lauds mangalurubased cardiologist selfless service
91,dr manmohan singh stronger prime minister narendra modi agree
92,pm shri narendra modi purchased exquisite hand embroidered shawl made artisans toda tribe tamil nadu
93,high time pm narendra modi intervene states like mp instead preaching sermons women
94,women playing leading role quest become aatmanirbhar international day let us commit
95,indias illiberal slide steady swift prime minister narendra modi bjp government
96,narendra modis best contribution india hours sleeps everyday
97,high time pm narendra modi intervene states like mp instead preaching sermons women
98,kerala voters think suitable candidate post pm india modi
99,mallus become laughing stock choosing rahul gandhi narendra modi icon laughing stock
100,faced protests prime minister narendra government offered suspend laws months
