tweet_id,tweet_text,polarity
1,"RT @Ashutos25483938: Always counting on others what an atmanirbhar
#StopPrivatisation
The Indian Express: PM Modi calls for stepping up man…",positive
2,"This is how Bengal demonstrated its love and affection for PM Narendra Modi..

#ModirSatheBrigade 
#NarendraModi… https://t.co/uHIka4zct9",positive
3,RT @ANI: Prime Minister Narendra Modi will release 11 volumes of the manuscript with commentaries by 21 scholars on shlokas of Bhagavad Git…,positive
4,RT @Anuragkukreti7: Narendra Modi's best contribution to India are the 6 hours for which he sleeps everyday!,neutral
5,"RT @vinayak_jain: Narendra Modi in Bengal. Amit Shah in TN. Himanta Biswa in Assam.

It is demeaning to such leaders when people say ‘BJP w…",neutral
6,RT @ANI: Prime Minister Narendra Modi will release 11 volumes of the manuscript with commentaries by 21 scholars on shlokas of Bhagavad Git…,positive
7,RT @Anuragkukreti7: Narendra Modi's best contribution to India are the 6 hours for which he sleeps everyday!,neutral
8,RT @ANI: Prime Minister Narendra Modi will release 11 volumes of the manuscript with commentaries by 21 scholars on shlokas of Bhagavad Git…,positive
9,RT @SmokingSkills_: Former president of Editors guild Shekhar Gupta is tensed and angry because Congress is losing its ‘Loyal muslim vote b…,positive
10,RT @ANI: Prime Minister Narendra Modi will release 11 volumes of the manuscript with commentaries by 21 scholars on shlokas of Bhagavad Git…,positive
11,"RT @eOrganiser: Next 25 Years Very Important for Bengal’s Development, Foundation to be Laid in This Assembly Election, Says Prime Minister…",neutral
12,RT @Anuragkukreti7: Narendra Modi's best contribution to India are the 6 hours for which he sleeps everyday!,neutral
13,"RT @atanuacharya: Today 07/03/2021, is special days for West Bengal. PM Narendra Modi ji address to all bengali people from bridge ground,…",negative
14,"RT @JagranEnglish: Take a look at the complete schedule of #IPL2021 

(📸: https://t.co/L9kFek7CB7 / Website)

Read more: https://t.co/qYk06…",positive
15,"RT @IPL: 🚨  BCCI announces schedule for VIVO IPL 2021 🚨

The season will kickstart on 9th April in Chennai and the final will take place on…",neutral
16,RT @ANI: Prime Minister Narendra Modi will release 11 volumes of the manuscript with commentaries by 21 scholars on shlokas of Bhagavad Git…,positive
17,RT @ANI: PM Narendra Modi begins his address at a public rally at Kolkata's Brigade Parade Ground https://t.co/nT1Ue2VGj6,negative
18,RT @ANI: I once dreamt of doing something big in life but I never dreamt of being on a platform where such big leaders and the leader of th…,positive
19,RT @amaanbali: Prime Minister Narendra Modi has time to go to Kolkata for votes but has no time to talk to farmers sitting on borders of De…,positive
20,RT @ANI: I have known Didi since ages. She is not the same person who raised her voice against the Left. She speaks someone else's language…,negative
21,RT @amaanbali: Prime Minister Narendra Modi has time to go to Kolkata for votes but has no time to talk to farmers sitting on borders of De…,positive
22,RT @ANI: Prime Minister Narendra Modi will release 11 volumes of the manuscript with commentaries by 21 scholars on shlokas of Bhagavad Git…,positive
23,RT @Bindaas211: @airavatvolvo @cruelanu @RituRathaur @kanimozhi @DrlathaC @UshaNirmala @ChitraSundaram7 Shameless thy name Narendra Modi.,neutral
24,RT @circleofcricket: BREAKING: #IPL2021 will start on 9th April in Chennai and the final will take place on May 30th at the Narendra Modi S…,negative
25,RT @ANI: Prime Minister Narendra Modi will release 11 volumes of the manuscript with commentaries by 21 scholars on shlokas of Bhagavad Git…,positive
26,"RT @Enraged_Indian: During growing up years, my father would take me to a clinic when I was sick.
The doctor there would give me a red liqu…",negative
27,"RT @vinayak_jain: Narendra Modi in Bengal. Amit Shah in TN. Himanta Biswa in Assam.

It is demeaning to such leaders when people say ‘BJP w…",neutral
28,RT @Motabhaigujratw: Imran saying Pakistan needs powerful military because india has powerful government not seen in 73 years. What more to…,neutral
29,RT @Anuragkukreti7: Narendra Modi's best contribution to India are the 6 hours for which he sleeps everyday!,neutral
30,If i got one chance that to spend one day with any of one living person in the world... i will choose narendra modi… https://t.co/7e6DQFfUx4,positive
31,RT @ANI: Prime Minister Narendra Modi will release 11 volumes of the manuscript with commentaries by 21 scholars on shlokas of Bhagavad Git…,positive
32,RT @Anuragkukreti7: Narendra Modi's best contribution to India are the 6 hours for which he sleeps everyday!,neutral
33,"RT @atanuacharya: Today 07/03/2021, is special days for West Bengal. PM Narendra Modi ji address to all bengali people from bridge ground,…",negative
34,"RT @zainabsikander: Mithun Chakraborty just called himself a ""pure cobra"" at Narendra Modi's Rally in Brigade Parade Grounds.
our future le…",positive
35,"RT @mannkibaat: Remember what PM Shri Narendra Modi said during #ParikshaPeCharcha 2020!

“Inspire children to do things that bring out the…",positive
36,Indian government blasts U.S. think tank that calls country only 'partly free' https://t.co/7rSZ01KZke via… https://t.co/ZH9x10ncu6,neutral
